epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.4606,1.76137,2.23815,1.87364,0.19135,0.29905,0.14527,0.04393,2.24139,4.05316,2.63365,0.0700882,0.00332353,0.00332353
2,90.31,1.80391,2.20247,1.9502,0.2761,0.33886,0.21008,0.09953,2.27031,2.77826,2.58831,0.0400223,0.00659096,0.00659096
3,132.142,1.73864,2.08695,1.89366,0.37777,0.44722,0.35196,0.14371,1.96083,2.29038,2.19135,0.00989043,0.00979239,0.00979239
4,173.546,1.68419,2.02069,1.84466,0.36165,0.5474,0.43937,0.21508,1.84126,2.20396,2.08117,0.009703,0.009703,0.009703
5,214.567,1.64099,1.96205,1.8235,0.44893,0.4648,0.40132,0.19807,1.88965,2.20815,2.108,0.009604,0.009604,0.009604
6,256.019,1.61486,1.92275,1.79526,0.47267,0.54492,0.49749,0.28329,1.81176,2.02609,1.98653,0.009505,0.009505,0.009505
7,298.149,1.6077,1.89,1.79423,0.54983,0.55456,0.52468,0.30033,1.74112,1.8198,1.97151,0.009406,0.009406,0.009406
8,339.115,1.58876,1.86713,1.76986,0.49171,0.48669,0.45046,0.2348,1.76737,1.9605,1.99823,0.009307,0.009307,0.009307
9,380.388,1.57125,1.83471,1.76174,0.55492,0.52564,0.54778,0.31382,1.71736,1.77222,1.90822,0.009208,0.009208,0.009208
10,421.132,1.56356,1.82228,1.75675,0.54971,0.57618,0.55525,0.32602,1.72408,1.80164,1.94649,0.009109,0.009109,0.009109
11,462.034,1.55496,1.80729,1.74967,0.5456,0.52583,0.5404,0.30972,1.6926,1.85411,1.88904,0.00901,0.00901,0.00901
12,502.689,1.55779,1.79507,1.74242,0.55815,0.5081,0.532,0.29147,1.72101,1.8545,1.93886,0.008911,0.008911,0.008911
13,543.515,1.54152,1.78104,1.73841,0.58441,0.53929,0.56324,0.31531,1.6828,1.8042,1.91105,0.008812,0.008812,0.008812
14,584.328,1.54289,1.77603,1.74843,0.47652,0.56961,0.54861,0.3174,1.70796,1.94459,1.93745,0.008713,0.008713,0.008713
15,626.681,1.54095,1.76328,1.7347,0.55336,0.4998,0.5255,0.28192,1.76095,1.88056,1.9962,0.008614,0.008614,0.008614
16,667.493,1.53378,1.74722,1.72736,0.47297,0.58715,0.54059,0.31629,1.71931,1.81919,1.92247,0.008515,0.008515,0.008515
17,713.247,1.51187,1.71272,1.709,0.61233,0.57594,0.59464,0.35089,1.67561,1.68397,1.8727,0.008416,0.008416,0.008416
18,758.385,1.50716,1.70662,1.70755,0.60926,0.56934,0.59127,0.34267,1.66738,1.73143,1.87009,0.008317,0.008317,0.008317
19,799.689,1.51277,1.72631,1.71517,0.5443,0.57293,0.54107,0.30988,1.71873,1.74654,1.92371,0.008218,0.008218,0.008218
20,843.119,1.503,1.70049,1.7092,0.57966,0.59186,0.59822,0.35914,1.63678,1.70319,1.88234,0.008119,0.008119,0.008119
21,885.331,1.5052,1.70165,1.70683,0.57202,0.58436,0.59105,0.34674,1.6571,1.68516,1.87269,0.00802,0.00802,0.00802
22,926.436,1.50227,1.68332,1.70078,0.62822,0.57179,0.59488,0.36748,1.60235,1.66715,1.82129,0.007921,0.007921,0.007921
23,967.411,1.49984,1.6745,1.69871,0.57875,0.58596,0.58368,0.34578,1.65021,1.63867,1.83926,0.007822,0.007822,0.007822
24,1008.38,1.50116,1.66748,1.69827,0.63738,0.58561,0.61121,0.36434,1.61527,1.61479,1.83931,0.007723,0.007723,0.007723
25,1049.33,1.48722,1.64772,1.68625,0.60298,0.61532,0.62092,0.3831,1.59118,1.58432,1.79933,0.007624,0.007624,0.007624
